,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
25,SC.26,36.0,11.0,1.0,10.0,0.0,1.0,125479.0,51969.0,1941-03-20,1941-04-08,27.77777777777780,0.0,100.0
474,OB.304,39.0,10.0,0.0,1.0,0.0,0.0,166527.0,8132.0,1941-03-23,1941-03-27,2.564102564102560,0.0,0.0
642,HX.117,57.0,14.0,2.0,1.0,1.0,0.0,277264.0,16644.0,1941-03-27,1941-04-15,1.7543859649122800,7.142857142857140,0.0
476,OB.306,31.0,12.0,0.0,1.0,0.0,0.0,107915.0,6563.0,1941-03-28,1941-04-03,3.225806451612900,0.0,0.0
479,OB.309,64.0,13.0,0.0,2.0,0.0,0.0,264179.0,12393.0,1941-04-03,1941-04-09,3.125,0.0,0.0
480,OB.310,68.0,15.0,0.0,2.0,0.0,0.0,297738.0,9982.0,1941-04-07,1941-04-13,2.941176470588240,0.0,0.0
482,OB.312,35.0,14.0,0.0,1.0,0.0,0.0,101263.0,6434.0,1941-04-12,1941-04-19,2.857142857142860,0.0,0.0
483,OB.313,50.0,12.0,0.0,2.0,0.0,0.0,179370.0,11650.0,1941-04-13,1941-04-18,4.0,0.0,0.0
484,OB.314,46.0,15.0,0.0,1.0,0.0,0.0,176730.0,5920.0,1941-04-16,1941-04-25,2.1739130434782600,0.0,0.0
647,HX.121,71.0,22.0,0.0,4.0,0.0,0.0,328335.0,35495.0,1941-04-16,1941-05-03,5.633802816901410,0.0,0.0
487,OB.317,38.0,14.0,0.0,3.0,0.0,0.0,111331.0,13151.0,1941-04-23,1941-04-30,7.894736842105260,0.0,0.0
488,OB.318,62.0,19.0,0.0,9.0,0.0,0.0,227200.0,50985.0,1941-04-27,1941-05-04,14.516129032258100,0.0,0.0
489,OB.319,54.0,13.0,0.0,1.0,0.0,0.0,226441.0,4719.0,1941-04-28,1941-05-05,1.8518518518518500,0.0,0.0
29,SC.30,49.0,21.0,0.0,2.0,1.0,0.0,136843.0,15719.0,1941-04-29,1941-05-20,4.081632653061230,4.761904761904760,0.0
490,OB.320,33.0,11.0,0.0,2.0,0.0,0.0,139730.0,10677.0,1941-04-30,1941-05-06,6.0606060606060600,0.0,0.0
492,OB.322,54.0,19.0,0.0,1.0,0.0,0.0,218805.0,7402.0,1941-05-07,1941-05-13,1.8518518518518500,0.0,0.0
493,OB.323,53.0,18.0,0.0,1.0,0.0,0.0,204515.0,7816.0,1941-05-08,1941-05-14,1.8867924528301900,0.0,0.0
653,HX.126,55.0,22.0,4.0,8.0,0.0,0.0,193170.0,47049.0,1941-05-10,1941-05-28,14.545454545454500,0.0,0.0
494,OB.324,47.0,15.0,0.0,2.0,0.0,0.0,196919.0,9426.0,1941-05-11,1941-05-17,4.25531914893617,0.0,0.0
654,HX.127,77.0,18.0,0.0,1.0,0.0,0.0,372228.0,2477.0,1941-05-16,1941-06-02,1.2987012987013000,0.0,0.0
497,OB.327,46.0,6.0,0.0,4.0,0.0,0.0,246385.0,27156.0,1941-05-18,1941-05-27,8.695652173913040,0.0,0.0
655,HX.128,66.0,23.0,4.0,1.0,0.0,1.0,276778.0,7290.0,1941-05-20,1941-06-06,1.5151515151515200,0.0,25.0
498,OB.328,34.0,10.0,0.0,4.0,0.0,0.0,139897.0,18260.0,1941-05-21,1941-05-29,11.76470588235290,0.0,0.0
499,OB.329,46.0,7.0,0.0,4.0,0.0,0.0,192195.0,23209.0,1941-05-22,1941-05-29,8.695652173913040,0.0,0.0
500,OB.330,53.0,11.0,0.0,2.0,0.0,0.0,232332.0,12629.0,1941-05-28,1941-06-01,3.7735849056603800,0.0,0.0
507,OB.336,40.0,16.0,0.0,2.0,1.0,0.0,125264.0,6923.0,1941-06-11,1941-06-25,5.0,6.25,0.0
