OB Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed_Date
OB.278,24,8,0,0,0,0,97046,0,1941-01-24,1941-01-27
OB.279,46,7,0,2,0,0,239348,9034,1941-01-28,1941-02-02
OB.280,33,9,1,2,1,1,123377,6349,1941-01-31,1941-02-03
OB.281,38,6,0,0,0,0,179581,0,1941-02-01,1941-02-05
OB.282,28,10,0,0,0,0,94942,0,1941-02-03,1941-02-08
OB.283,52,9,0,0,0,0,240794,0,1941-02-08,1941-02-12
OB.284,40,6,0,1,0,0,153860,5462,1941-02-09,1941-02-14
OB.285,50,6,0,0,0,0,245624,0,1941-02-11,1941-02-17
OB.286,35,6,0,0,0,0,172250,0,1941-02-13,1941-02-17
OB.287,51,7,0,1,0,0,268558,6999,1941-02-16,1941-02-21
OB.288,52,6,1,9,0,1,214324,38604,1941-02-18,1941-02-22
OB.289,34,7,0,3,0,0,164867,15581,1941-02-20,1941-02-24
OB.290,47,7,0,3,0,0,228247,12087,1941-02-23,1941-02-27
OB.291,52,7,0,0,0,0,299239,0,1941-02-27,1941-03-03
OB.292,45,7,0,1,0,0,198220,7383,1941-02-28,1941-03-06
OB.293,44,6,0,3,0,0,236392,32464,1941-03-02,1941-03-08
OB.294,49,7,0,0,0,0,228242,0,1941-03-05,1941-03-09
OB.295,45,13,1,0,0,0,194203,0,1941-03-08,1941-03-14
OB.296,47,7,0,1,0,0,189538,2697,1941-03-10,1941-03-15
OB.297,53,12,0,0,0,0,254213,0,1941-03-12,1941-03-17
OB.298,41,11,0,0,0,0,174460,0,1941-03-16,1941-03-20
OB.299,45,8,0,0,0,0,217141,0,1941-03-19,1941-03-25
OB.300,37,8,0,0,0,0,134218,0,1941-03-20,1941-03-26
OB.301,41,8,0,0,0,0,203273,0,1941-03-23,1941-03-27
OB.302,42,10,0,2,0,0,174429,5510,1941-03-24,1941-03-30
OB.303,66,13,0,0,0,0,288040,0,1941-03-28,1941-04-03
OB.304,39,10,0,1,0,0,166527,8132,1941-03-30,1941-04-04
OB.305,51,11,0,0,0,0,227517,0,1941-04-02,1941-04-06
OB.306,31,12,0,1,0,0,107915,6563,1941-04-03,1941-04-09
OB.307,32,9,0,0,0,0,138139,0,1941-04-07,1941-04-13
OB.308,41,7,0,0,0,0,175122,0,1941-04-06,1941-04-13
OB.309,64,13,0,2,0,0,264179,12393,1941-04-12,1941-04-19
OB.310,68,15,0,2,0,0,297738,9982,1941-04-13,1941-04-18
OB.311,51,8,0,0,0,0,211002,0,1941-04-16,1941-04-25
OB.312,35,14,0,1,0,0,101263,6434,1941-04-18,1941-04-25
OB.313,50,12,0,2,0,0,179370,11650,1941-04-22,1941-04-28
OB.314,46,15,0,1,0,0,176730,5920,1941-04-23,1941-04-30
OB.315,40,7,0,0,0,0,201132,0,1941-04-27,1941-05-04
OB.316,27,7,0,0,0,0,131441,0,1941-04-28,1941-05-05
OB.317,38,14,0,3,0,0,111331,13151,1941-04-30,1941-05-06
OB.318,62,19,0,9,0,0,227200,50985,1941-05-02,1941-05-10
OB.319,54,13,0,1,0,0,226441,4719,1941-05-07,1941-05-13
OB.320,33,11,0,2,0,0,139730,10677,1941-05-08,1941-05-14
OB.321,36,12,0,0,0,0,109562,0,1941-05-11,1941-05-17
OB.322,54,19,0,1,0,0,218805,7402,1941-05-12,1941-05-20
OB.323,53,18,0,1,0,0,204515,7816,1941-05-17,1941-05-25
OB.324,47,15,0,2,0,0,196919,9426,1941-05-18,1941-05-27
OB.325,25,5,0,0,0,0,78353,0,1941-05-21,1941-05-29
OB.326,55,8,0,0,0,0,270099,0,1941-05-22,1941-05-29
OB.327,46,6,0,4,0,0,246385,27156,1941-05-28,1941-06-01
OB.328,34,10,0,4,0,0,139897,18260,1941-05-29,1941-06-02
OB.329,46,7,0,4,0,0,192195,23209,1941-05-31,1941-06-05
OB.330,53,11,0,2,0,0,232332,12629,1941-06-02,1941-06-07
OB.331,63,17,0,0,0,0,296385,0,1941-06-08,1941-06-19
OB.332,60,17,0,0,0,0,204953,0,1941-06-08,
OB.333,46,7,0,0,0,0,192355,0,1941-06-10,1941-06-21
OB.334,70,21,0,0,0,0,315766,0,1941-06-11,
OB.335,45,7,0,0,0,0,252260,0,1941-06-16,
OB.336,40,16,0,2,1,0,125264,6923,1941-06-15,1941-06-25
OB.337,56,11,0,2,0,0,231654,8362,1941-06-20,1941-06-28
OB.338,66,18,0,0,0,0,299124,0,1941-06-21,1941-07-03
OB.339,62,10,0,0,0,0,306465,0,1941-06-26,
OB.340,50,18,0,0,0,0,134409,0,1941-06-27,1941-07-13
OB.341,91,9,0,2,0,0,515172,10392,1941-06-30,1941-07-06
OB.341A,10,10,0,0,0,0,0,0,1941-07-02,
OB.343,93,17,0,0,0,0,338528,0,1941-07-06,1941-07-21
OB.344,27,11,0,0,0,0,117593,0,1941-07-07,1941-07-16
OB.345,68,13,0,0,0,0,336249,0,1941-07-11,
OB.346,59,17,0,0,0,0,229201,0,1941-07-14,
OB.347,78,17,0,0,0,0,197671,0,1941-07-16,1941-07-31
OB.348,65,13,0,0,0,0,299982,0,1941-07-17,
OB.349,61,16,0,0,0,0,259006,0,1941-07-21,1941-08-01
