HX Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
HX.283,92,26,0,0,0,0,503233,0,1944-03-13,1944-03-29
HX.284,101,24,0,0,0,0,581205,0,1944-03-21,1944-04-06
HX.285,71,22,0,0,0,0,412762,0,1944-03-28,1944-04-12
HX.286,106,21,0,0,0,0,620902,0,1944-04-05,1944-04-20
HX.287,89,17,0,0,0,0,528868,0,1944-04-12,1944-04-26
HX.288,123,24,0,0,0,0,617682,0,1944-04-18,1944-05-04
HX.289,148,22,0,0,0,0,912351,0,1944-04-27,1944-05-13
HX.290,108,16,0,0,0,0,679454,0,1944-05-05,1944-05-19
HX.291,115,18,0,0,0,0,612477,0,1944-05-10,1944-05-27
HX.292,159,27,0,0,0,0,922361,0,1944-05-19,1944-06-02
HX.293,120,22,0,0,0,0,675037,0,1944-05-27,1944-06-09
HX.294,136,26,0,0,0,0,721476,0,1944-06-02,1944-06-19
HX.295,99,23,0,0,0,0,562010,0,1944-06-10,1944-06-24
HX.296,114,22,0,0,0,0,663373,0,1944-06-19,1944-07-03
HX.297,141,27,0,0,0,0,717210,0,1944-06-24,1944-07-11
HX.298,136,22,0,0,0,0,787943,0,1944-07-03,1944-07-18
HX.299,111,25,0,0,0,0,646331,0,1944-07-11,1944-07-24
HX.300,191,32,0,0,0,0,1054593,0,1944-07-17,1944-08-03
HX.301,153,33,0,0,0,0,839646,0,1944-07-25,1944-08-08
HX.302,122,27,0,0,0,0,698004,0,1944-08-04,1944-08-17
HX.303,127,28,0,0,0,0,656213,0,1944-08-11,1944-08-27
HX.304,114,27,0,0,0,0,624250,0,1944-08-17,1944-09-01
HX.305,124,27,0,2,0,0,712910,17048,1944-08-25,1944-09-10
HX.306,142,27,0,0,0,0,766556,0,1944-08-31,1944-09-17
HX.307,99,29,0,0,0,0,512035,0,1944-09-06,1944-09-20
HX.308,85,24,0,0,0,0,451379,0,1944-09-13,1944-09-28
HX.309,93,19,0,0,0,0,445298,0,1944-09-16,1944-10-03
HX.310,82,23,0,0,0,0,410292,0,1944-09-21,1944-10-05
HX.311,85,25,0,0,0,0,460986,0,1944-09-28,1944-10-14
HX.312,101,25,0,0,0,0,569226,0,1944-10-05,1944-10-21
HX.313,63,20,0,0,0,0,316108,0,1944-10-10,1944-10-24
HX.314,84,26,0,0,0,0,475142,0,1944-10-15,1944-10-29
HX.315,61,21,0,0,0,0,313098,0,1944-10-20,1944-11-03
HX.316,66,25,0,0,0,0,282929,0,1944-10-25,1944-11-10
HX.317,70,29,0,0,0,0,308204,0,1944-10-30,1944-11-13
HX.318,53,19,0,0,0,0,265327,0,1944-11-04,1944-11-19
HX.319,69,23,0,0,0,0,337547,0,1944-11-09,1944-11-25
HX.320,62,20,0,0,0,0,318015,0,1944-11-14,1944-11-30
HX.321,56,21,0,0,0,0,253058,0,1944-11-19,1944-12-05
HX.322,57,18,0,0,0,0,291879,0,1944-11-24,1944-12-08
HX.323,61,20,0,0,0,0,328080,0,1944-11-29,1944-12-13
HX.324,72,19,0,0,0,0,397965,0,1944-12-04,1944-12-21
HX.325,76,16,0,0,0,0,436548,0,1944-12-09,1944-12-23
HX.326,67,23,0,0,0,0,369797,0,1944-12-14,1944-12-27
HX.327,67,21,0,0,0,0,332072,0,1944-12-19,1945-01-02
HX.328,76,21,0,0,0,0,401921,0,1944-12-24,1945-01-08
HX.329,57,22,0,0,0,0,267884,0,1944-12-29,1945-01-12
HX.330,69,25,0,0,0,0,326548,0,1945-01-03,1945-01-17
HX.331,92,31,0,0,0,0,466927,0,1945-01-08,1945-01-22
